ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
133,PocketDP3: Efficient Pocket-Scale 3D Visuomotor Policy,2026,arXiv.org,n/a,n/a,n/a,2601.22018,2026-01-29,source metadata publication date for arXiv 2601.22018,10.48550/arXiv.2601.22018,OpenAlex term search: RoboTwin2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin2.0,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin2.0,indexed-citation,https://www.semanticscholar.org/paper/2f763ae2498cc695d9e1ef192c3e4d5224a65c1b; Semantic Scholar: 2f763ae2498cc695d9e1ef192c3e4d5224a65c1b; OpenAlex: W7126258846; S2 citation contexts available,reports-results,robotwin2,"50 expert demonstrations per task, following the official RoboTwin2.0 guidelines.","Table 2 reports RoboTwin2.0 task success rates in percent over 100 randomly generated scenes/seeds. PocketDP3-base reports 71.6% average success and PocketDP3-tiny reports 66.0%, versus DP3 50.8%, pi0 36.8%, and DP 29.2%.",,,,,50.8,DP3,,,,,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2601.22018.txt. Table 2 is titled Evaluation on the Robotwin2.0 benchmark and reports per-task plus Average success rates. Section 4.1 says RoboTwin2.0 training uses 50 expert demonstrations and evaluates each task on 100 randomly generated scenes.,high,not-found,,"subagent checkpoint audit weights_batch_05.json: The paper points to the official PocketDP3 GitHub repository for code. The README contains RoboTwin 2.0 results plus training/evaluation commands, but no pretrained/model-zoo/checkpoint links were found. The repository has no public release assets, and Hugging Face searches for PocketDP3/jhz1192 returned no model repositories.",high,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2601.22018.txt. Table 2 is titled Evaluation on the Robotwin2.0 benchmark and reports per-task plus Average success rates. Section 4.1 says RoboTwin2.0 training uses 50 expert demonstrations and evaluates each task on 100 randomly generated scenes.,high,official-ish,"Reports RoboTwin2.0 task success rates following official guidelines with 50 demonstrations per task and 100 randomized scenes/seeds, comparable to the standard randomized evaluation."
134,PointNet4D: A Lightweight 4D Point Cloud Video Backbone for Online and Offline Perception in Robotic Applications,2026,article,article,venue metadata from index,medium,2512.01383,2026-03-06,source metadata publication date for arXiv 2512.01383,10.1109/wacv61042.2026.00313,OpenAlex term search: RoboTwin 2,term match: RoboTwin 2,term-only,https://openalex.org/W4416960160; OpenAlex: W4416960160; Subagent term-status evidence: Cached arXiv source/text cites RoboTwin through mu2024robotwin / reference [9] 'Robotwin: Dual-arm robot benchmark with generative digital twins'; searches found no RoboTwin 2.0 / 2506.18088 citation.,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-search row retained for audit; no countable RoboTwin 2.0 citation edge or formal citation was confirmed.,n/a,,
135,Privileged Foresight Distillation: Zero-Cost Future Correction for World Action Models,2026,ArXiv.org,n/a,n/a,n/a,2604.25859,2026-04-28,source metadata publication date for arXiv 2604.25859,10.48550/arXiv.2604.25859,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Clean; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0,manual full-text/arXiv audit: cites RoboTwin 2.0 arXiv seed; subagent full-text audit: cites RoboTwin 2.0 arXiv seed; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Clean; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,manual-citation,"https://openalex.org/W7159546674; OpenAlex: W7159546674; Subagent term-status evidence: Cached arXiv source cites RoboTwin 2.0 in the experiment setup; references.bib maps mu2025robotwin to 'RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation', arXiv:2506.18088.",reports-results,robotwin2-clean; robotwin2-randomized,"not reported; the paper states 2,500 clean-scene and 25,000 randomized-scene demonstrations across more than 50 tasks","Table 2 reports RoboTwin 2.0 success rate (%). PFD (partial fine-tune, ours): Clean 93.11, Randomized 92.69, Avg 92.9. Conditions are clean-scene and randomized-scene, not an explicit Easy/Hard split.",93.11,92.69,,,,,92.90,LingBot-VA,91.78,Fast-WAM,"2026-05-11 term/status audit: promoted-row audit says results are Clean/Randomized rather than Easy/Hard; Table 2 gives Clean 93.11, Randomized 92.69, Avg 92.9.",high,weight-but-not-for-number,,"Official/high-signal source audit found public model or checkpoint artifacts, but not evidence tying them to the reported RoboTwin number: https://github.com/PengchengFang-cs/PFD. Large files were not downloaded.",medium,"2026-05-11 term/status audit: promoted-row audit says results are Clean/Randomized rather than Easy/Hard; Table 2 gives Clean 93.11, Randomized 92.69, Avg 92.9.",high,official-ish,"Reports RoboTwin 2.0 Clean and Randomized success rates over more than 50 tasks, matching the standard Easy/Clean and Hard/Randomized success-rate surfaces."
136,PRM-as-a-Judge: A Dense Evaluation Paradigm for Fine-Grained Robotic Auditing,2026,preprint/unknown,n/a,n/a,n/a,2603.21669,2026-03-23,source metadata publication date for arXiv 2603.21669,10.48550/arXiv.2603.21669,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/33f7bee508f86ae43b17fcc7376c5be3ef8a02f1; Semantic Scholar: 33f7bee508f86ae43b17fcc7376c5be3ef8a02f1,reports-results,robotwin2-opd-auditing,not reported,Table 3 audits on RoboTwin 2.0 and reports OPD auditing metrics rather than standard Easy/Hard policy success rates.,,,,,,,,,,,"2026-05-11 subagent result audit: cached full text 2603.21669.txt, Table 3, audits on RoboTwin 2.0.",medium,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,"2026-05-11 subagent result audit: cached full text 2603.21669.txt, Table 3, audits on RoboTwin 2.0.",medium,otherwise,Reports OPD auditing metrics on RoboTwin 2.0 rather than policy success rates under the standard Easy/Clean or Hard/Randomized protocol.
137,PVI: Plug-in Visual Injection for Vision-Language-Action Models,2026,preprint/unknown,n/a,n/a,n/a,2603.12772,2026-03-13,source metadata publication date for arXiv 2603.12772,10.48550/arXiv.2603.12772,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/3a700a675e7fe2b156ad09e6c27a7ffbe0cc7e52; Semantic Scholar: 3a700a675e7fe2b156ad09e6c27a7ffbe0cc7e52; S2 citation contexts available,reports-results,robotwin2,50 demonstration trajectories per task.,PVI reports RoboTwin 2.0 success rates in percent over 100 rollouts. Table 1 single-task fine-tuning reports GR00T N1.5 + PVI average 59.70% versus baseline 35.70%. Section 4.4 reports multi-task PVI improves 61.15% to 69.15% on the 20-task mixture and 61.32% to 63.56% on the 50-task mixture.,,,,,,,,,,,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.12772.txt. Table 1 reports single-task success rates and Section 4.4 states training on 20-task and 50-task RoboTwin 2.0 mixtures with 50 demonstrations per task.,high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_05.json: The PVI paper reports RoboTwin 2.0 results for GR00T N1.5 + PVI after fine-tuning from the same pretrained GR00T N1.5 checkpoint. Public NVIDIA GR00T-N1.5 base weights are available on Hugging Face, but no official PVI fine-tuned RoboTwin checkpoints, code repository, project weight page, or model listing was found.",medium,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.12772.txt. Table 1 reports single-task success rates and Section 4.4 states training on 20-task and 50-task RoboTwin 2.0 mixtures with 50 demonstrations per task.,high,official-ish,"Reports success rates for a full 50-task RoboTwin 2.0 mixture with 50 demos per task and 100 rollouts per task, making it comparable to a full benchmark success-rate evaluation."
138,R3D: Revisiting 3D Policy Learning,2026,preprint/unknown,n/a,n/a,n/a,2604.15281,2026-04-16,source metadata publication date for arXiv 2604.15281,10.48550/arXiv.2604.15281,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/31089f91d1351c5e3172802ccb1efa4ddabd706e; Semantic Scholar: 31089f91d1351c5e3172802ccb1efa4ddabd706e; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 demos per selected RoboTwin 2.0 task.,"Table 5 reports RoboTwin 2.0 success rates in percent on selected Easy and Hard tasks. Ours reports 83.8% average on the Easy subset and 64.8% on the Hard subset. Baselines include ManiFlow 73.0/61.6, DP3 61.0/22.6, RDT 45.4/22.2, and DP 30.6 on Easy.",83.8,64.8,,,,,,,,,"subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2604.15281.txt. Section 5.1 says RoboTwin 2.0 has Easy and Hard settings and that the paper curates five tasks for each, using 50 demos per task. Table 5 reports the Easy and Hard averages.",high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_05.json: The official R3D project and README release a Hugging Face dataset plus eddie-cui/r3d-weights, described as pre-trained weights of the vision encoder. The Hugging Face model listing contains model.safetensors for that encoder, but the audited sources did not expose RoboTwin policy checkpoints tied to the reported R3D success rates.",high,"subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2604.15281.txt. Section 5.1 says RoboTwin 2.0 has Easy and Hard settings and that the paper curates five tasks for each, using 50 demos per task. Table 5 reports the Easy and Hard averages.",high,otherwise,"Reports Easy and Hard averages on five selected tasks per setting, not the standard full 50-task RoboTwin 2.0 Easy/Clean or Hard/Randomized aggregate."
139,R3DP: Real-Time 3D-Aware Policy for Embodied Manipulation,2026,preprint/unknown,n/a,n/a,n/a,2603.14498,2026-03-15,source metadata publication date for arXiv 2603.14498,10.48550/arXiv.2603.14498,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/e729cbf2435895ef45c50af83db6558016f5fbcc; Semantic Scholar: e729cbf2435895ef45c50af83db6558016f5fbcc; S2 citation contexts available,reports-results,robotwin2,not reported,"Table 1 reports task success rates in percent on 10 RoboTwin tasks. R3DP reports 69.0% average with tau=4 and 65.7% with tau=8, versus pi0 59.9%, DP3 57.6%, DP3-DA2 28.2%, DP-single 36.1%, and DP-multi 17.6%.",,,,,,,,,,,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.14498.txt. Section 5.1 says experiments use 10 representative RoboTwin tasks and evaluate success rate over 100 execution trials. Table 1 gives per-task and average success rates.,high,not-found,,"subagent checkpoint audit weights_batch_05.json: The R3DP project page links the official code repository and reports RoboTwin results, but the repository README only says the official implementation is 'Comming soon...'. GitHub releases were empty, and Hugging Face searches for R3DP/dazazh did not find official model weights.",high,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.14498.txt. Section 5.1 says experiments use 10 representative RoboTwin tasks and evaluate success rate over 100 execution trials. Table 1 gives per-task and average success rates.,high,otherwise,"Reports average success over 10 representative RoboTwin tasks, so the number is a selected-task subset rather than a standard benchmark aggregate."
140,"RADAR: Benchmarking Vision-Language-Action Generalization via Real-World Dynamics, Spatial-Physical Intelligence, and Autonomous Evaluation",2026,arXiv.org,n/a,n/a,n/a,2602.10980,2026-02-11,source metadata publication date for arXiv 2602.10980,10.48550/arXiv.2602.10980,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/461b4dcaf3ace698609555bb35c3ccb11d721537; Semantic Scholar: 461b4dcaf3ace698609555bb35c3ccb11d721537; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2602.10980; snippet: gface/lerobot Cited by: §A.2 . H. Chen, L. Lin, and G. Wang (2026) OOWM: structuring embodied reasoning and planning via object-oriented world modeling . Technical report Sun Yat-sen University . Note: Technical Report Cited by: §1 . T. Chen, Z. Chen, B. Chen, Z. Cai, Y. Liu, Z. Li, Q. Liang, X. Lin, Y. Ge, Z. Gu, et al. (2025) Robotwin 2.0: a scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation . arXiv preprint arXiv:2506.18088 . Cited by: §1 , §2.2 . S. Fei, S. Wang, J. Shi, Z. Dai, J. Cai, P. Qian, L. Ji, X. He, S. Zhang, Z. Fei, et al. (2025a) Libero-plus: in-depth robustness...",medium,,
141,RDT2: Exploring the Scaling Limit of UMI Data Towards Zero-Shot Cross-Embodiment Generalization,2026,arXiv.org,n/a,n/a,n/a,2602.03310,2026-02-03,source metadata publication date for arXiv 2602.03310,10.48550/arXiv.2602.03310,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/b75aec636e4ec06a05c5e43cf150c64e3ffa1639; Semantic Scholar: b75aec636e4ec06a05c5e43cf150c64e3ffa1639; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2602.03310; snippet: and C. K. Liu (2025a) Arcap: collecting high-quality human demonstrations for robot learning with augmented reality feedback . In 2025 IEEE International Conference on Robotics and Automation (ICRA) , pp. 8291–8298 . Cited by: §2 . T. Chen, Z. Chen, B. Chen, Z. Cai, Y. Liu, Z. Li, Q. Liang, X. Lin, Y. Ge, Z. Gu, et al. (2025b) Robotwin 2.0: a scalable data generator and benchmark with strong domain randomization for robust bimanual robotic manipulation . arXiv preprint arXiv:2506.18088 . Cited by: §2 . X. Cheng, J. Li, S. Yang, G. Yang, and X. Wang (2024) Open-television: teleoperation with immersive active visual feedback . In Conference on...",medium,,
142,Reconstruction by Generation: 3D Multi-Object Scene Reconstruction from Sparse Observations,2026,preprint/unknown,n/a,n/a,n/a,2604.27106,2026-04-29,source metadata publication date for arXiv 2604.27106,10.48550/arXiv.2604.27106,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/1a9ee97a2fa4a03da1b8753d4799fc6468a560a3; Semantic Scholar: 1a9ee97a2fa4a03da1b8753d4799fc6468a560a3; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.27106; snippet: ers occluded geometry of both objects and parts, is robust to imperfect sensor depth, and handles object symmetries — challenges that most recent baselines struggle to address. 1 Introduction Simulation is increasingly used to train and evaluate embodied AI systems [ li2023behavior , savva2019habitat , mittal2025isaac , chen2025robotwin ] , however, its overall impact is limited by the substantial cost and complexity associated with constructing high-fidelity digital twins [ tao2024advancements ] . Constructing such twins typically requires detailed scanning and manual registration of objects within scenes, a labor-intensive process that is...",medium,,
143,ReMAP-DP: Reprojected Multi-view Aligned PointMaps for Diffusion Policy,2026,ArXiv.org,n/a,n/a,n/a,2603.14977,2026-03-16,source metadata publication date for arXiv 2603.14977,10.48550/arXiv.2603.14977,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Easy; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,manual full-text/arXiv audit: cites RoboTwin 2.0 arXiv seed; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,manual-citation,https://openalex.org/W7139146702; OpenAlex: W7139146702,reports-results,robotwin2-easy,50 demonstrations for each selected Easy-setting task.,"Table I reports success rates as fractions on 10 RoboTwin 2.0 Easy-setting tasks. ReMAP-DP/Ours reports average 0.593, equivalent to 59.3% success, versus DP3 52.7%, ACT 40.8%, and DP 34.1%. Results are averaged over 100 evaluation episodes per checkpoint.",59.3,,,,,,,,,,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.14977.txt. Section IV-A says the paper selects 10 RoboTwin 2.0 tasks in the Easy setting with 50 demonstrations each and conducts 100 trials per checkpoint. Table I reports the 0.593 average for Ours.,high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_05.json: The official ReMAP-DP project links a Hugging Face model card that says it contains weights for the paper. The file listing exposes five task checkpoints, but the tracked RoboTwin result is the paper's 59.3 average over ten tasks. The release is therefore partial/incomplete for the tracked aggregate number.",medium,subagent result audit usage_numbers_batch_05.json: Cached arXiv HTML text robotwin2_0/audit_fulltext/2603.14977.txt. Section IV-A says the paper selects 10 RoboTwin 2.0 tasks in the Easy setting with 50 demonstrations each and conducts 100 trials per checkpoint. Table I reports the 0.593 average for Ours.,high,otherwise,"Reports success on 10 selected RoboTwin 2.0 Easy-setting tasks, not the standard full Easy/Clean benchmark aggregate."
