ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
25,"Developing AI Agents with Simulated Data: Why, what, and how?",2026,arXiv.org,n/a,n/a,n/a,2602.15816,2026-02-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.15816,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/d15ab0e2ee3ba20dd83249bfa81129c6bc1c2ff4; https://arxiv.org/abs/2602.15816; DOI 10.48550/arXiv.2602.15816,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
26,DreamDojo: A Generalist Robot World Model from Large-Scale Human Videos,2026,arXiv.org,n/a,n/a,n/a,2602.06949,2026-02-06,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.06949,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ca524f499028275f21776ea4b1fd41fd2ff7844b; https://arxiv.org/abs/2602.06949; DOI 10.48550/arXiv.2602.06949,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
27,DTP: A Simple yet Effective Distracting Token Pruning Framework for Vision-Language Action Models,2026,arXiv.org,n/a,n/a,n/a,2601.16065,2026-01-22,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.16065,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/48421a938d47b2baa265a909707ff9c71a0e86b8; https://arxiv.org/abs/2601.16065; DOI 10.48550/arXiv.2601.16065,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=81.9; Google Robot / Fractal VA=80.5; WidowX / Bridge=74.0,81.9,80.5,74.0,79.4,SpatialVLA,79.5,SpatialVLA,68.7,UniVLA,Suite-specific sortable columns record cleaned primary/best average or overall values from the full-text result audit.,high,weight-but-not-for-number,,"The paper/OpenReview report the tracked SpatialVLA+DTP Google Robot numbers and UniVLA+DTP WidowX number, and describe DTP as a plug-and-play inference-time pruning method that does not modify model weights. The official code URL currently returns a not_connected error. Public SpatialVLA and UniVLA checkpoint listings exist, including UniVLA Simpler Bridge files, but they are base/related policy weights; the public sources checked do not provide a DTP-associated release, exact runnable config, or artifact tied to the tracked DTP numbers.",medium,Suite columns contain cleaned average/overall SimplerEnv result values as sortable floats without percent signs; blank suite cells were left blank when no clean value was found.,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate suite numbers."
28,dWorldEval: Scalable Robotic Policy Evaluation via Discrete Diffusion World Model,2026,preprint/unknown,n/a,n/a,n/a,2604.22152,2026-04-24,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/084a185a391c67d9eca9e8b7a36eef885ddac011; https://arxiv.org/abs/2604.22152,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
29,DynamicVLA: A Vision-Language-Action Model for Dynamic Object Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.22153,2026-01-29,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.22153,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/85c65a7acf5c6c18f18d3b3729007ae5f642d1ae; https://arxiv.org/abs/2601.22153; DOI 10.48550/arXiv.2601.22153,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
30,Efficient Long-Horizon Vision-Language-Action Models via Static-Dynamic Disentanglement,2026,arXiv.org,n/a,n/a,n/a,2602.03983,2026-02-03,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.03983,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ab2db0760a0496b8915edd68c17c97f0277a5fdd; https://arxiv.org/abs/2602.03983; DOI 10.48550/arXiv.2602.03983; https://openalex.org/W7128009378; https://openalex.org/W7128097054,reports-results,google-fractal-vm; google-fractal-va,not reported,"Google Robot / Fractal task-level success rates only: VM Pick Can=92.7, Move Near=88.8, Drawer=75.0; VA Pick Can=92.4, Move Near=81.0, Drawer=38.9. No VM/VA suite average is reported.",,,,,,,,,,arXiv:2602.03983 Table 2 labels Visual Matching and Variant Aggregation task columns for SD-VLA and reports the task-level success rates; no average column is provided.,high,weight-but-not-for-number,,"The tracked SimplerEnv result is SD-VLA on CogACT, not plain CogACT: the paper's Table 2 reports '+ SD-VLA (Ours)' and the method adds static/dynamic tokens, a learned recache gate, and training/ablation components. I found public CogACT base checkpoints, but no official SD-VLA project, repo, Hugging Face/model listing, release, or checkpoint download tied to the SD-VLA SimplerEnv numbers.",high,"arXiv:2602.03983 Table 2 evaluates SD-VLA on SimplerEnv Google Robot Visual Matching and Variant Aggregation task columns, but reports task-level rates only.",high,official-ish,"Reports SimplerEnv Google Robot / Fractal VM and VA task-level success rates under official-style protocol labels, though no suite average is given."
31,EmbodiedClaw: Conversational Workflow Execution for Embodied AI Development,2026,preprint/unknown,n/a,n/a,n/a,2604.13800,2026-04-15,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/e65374aa663cdbe129bff533a525d71f5bdb63fa; https://arxiv.org/abs/2604.13800,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
32,EmbodiedMidtrain: Bridging the Gap between Vision-Language Models and Vision-Language-Action Models via Mid-training,2026,preprint/unknown,n/a,n/a,n/a,2604.20012,2026-04-21,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/49c400dd807c3b3f48755ffee96ed152254dc8b8; https://arxiv.org/abs/2604.20012; https://openalex.org/W7155574301,reports-results,widowx-bridge,not reported,WidowX / Bridge=56.3,,,56.3,,,,,60.4,pi0 (Paligemma-1) / KosMos-2,Independent subagent full-text/result audit verified: WidowX / Bridge=56.3,high,coming-soon-no-download-link,,"The tracked number is the SimplerEnv-Bridge result after EmbodiedMidtrain plus downstream VLA fine-tuning. The paper says the authors will release code, data, and models, while the project page keeps resource links hidden until ready. Hugging Face's paper page shows no linked models, and exact model search found no public mid-trained or SimplerEnv-finetuned checkpoint for the 56.3 result.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=56.3,high,official-ish,Reports a standard SimplerEnv WidowX / Bridge success-rate suite number.
33,Enabling Dynamic Tracking in Vision-Language-Action Models via Time-Discrete and Time-Continuous Velocity Feedforward,2026,preprint/unknown,n/a,n/a,n/a,2603.16218,2026-03-17,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c87f118633a42480726a0df1d2053e915ab187bc; https://arxiv.org/abs/2603.16218,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
34,Environment-Aware Adaptive Pruning with Interleaved Inference Orchestration for Vision-Language-Action Models,2026,arXiv.org,n/a,n/a,n/a,2602.00780,2026-01-31,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2602.00780,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/1bd0961b058302f1d8316d7e6bbfd0709b1f626d; https://arxiv.org/abs/2602.00780; DOI 10.48550/arXiv.2602.00780,reports-results,google-fractal-vm; google-fractal-va,not reported,Google Robot / Fractal VM=73.6; Google Robot / Fractal VA=60.6,73.6,60.6,,73.3,CogACT Vanilla (0% sparsity),61.0,CogACT Vanilla (0% sparsity),,,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=73.6; Google Robot / Fractal VA=60.6,high,number-associated weight available,https://huggingface.co/CogACT/CogACT-Base,"The EcoVLA paper describes the method as training-free and plug-and-play, and Table 3 reports the tracked CogACT/SIMPLER 40% pruning averages: 73.6 for Visual Matching and 60.6 for Variant Aggregation. CogACT's official repository releases CogACT models on Hugging Face, gives SIMPLER evaluation instructions using saved_model_path such as CogACT/CogACT-Base, and the CogACT/CogACT-Base model listing includes checkpoints/CogACT-Base.pt. No large weights were downloaded.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=73.6; Google Robot / Fractal VA=60.6,high,official-ish,Reports standard SimplerEnv Google Robot / Fractal VM and Google Robot / Fractal VA success-rate suite numbers.
35,ESPIRE: A Diagnostic Benchmark for Embodied Spatial Reasoning of Vision-Language Models,2026,preprint/unknown,n/a,n/a,n/a,2603.13033,2026-03-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/0f65fc8f71a65302a19be7afad770eca9c0ffcfa; https://arxiv.org/abs/2603.13033,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Independent subagent full-text audit found no SimplerEnv benchmark result attributable to this work.,high,,
36,Exploring High-Order Self-Similarity for Video Understanding,2026,preprint/unknown,n/a,n/a,n/a,2604.20760,2026-04-22,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/89002b7823721c5bf5da545fb138510e9d1109bd; https://arxiv.org/abs/2604.20760,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
37,Fast-dVLA: Accelerating Discrete Diffusion VLA to Real-Time Performance,2026,preprint/unknown,n/a,n/a,n/a,2603.25661,2026-03-26,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/25fa61e44fb69231b5a820b53ad7e8471d675e4a; https://arxiv.org/abs/2603.25661; https://openalex.org/W7142557095,reports-results,widowx-bridge,not reported,WidowX / Bridge=59.3,,,59.3,,,,,55.2,Dream-VLA + Block Diffusion,Independent subagent full-text/result audit verified: WidowX / Bridge=59.3,high,weight-but-not-for-number,,"The tracked 59.3 WidowX/Bridge number is for 'Dream-VLA + Fast-dVLA (ours)', not the public Dream-VLA baseline. The paper says Fast-dVLA is trained via asymmetric distillation from task-specific fine-tuned dVLA weights with LoRA/post-training. Public Dream-VLA weights exist, but the official Fast-dVLA page/repo only hosts project assets and says code is coming soon; I found no Fast-dVLA checkpoint, LoRA, release asset, or model listing tied to the 59.3 result.",high,Independent subagent full-text/result audit verified: WidowX / Bridge=59.3,high,official-ish,Reports a standard SimplerEnv WidowX / Bridge success-rate suite number.
38,Fast-ThinkAct: Efficient Vision-Language-Action Reasoning via Verbalizable Latent Planning,2026,arXiv.org,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR 2026),Subagent verified CVPR 2026 accepted venue metadata.,high,2601.09708,2026-01-14,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2601.09708,Semantic Scholar citation graph; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/34bb730be497273a7b413710b82213063b07e3c5; https://arxiv.org/abs/2601.09708; DOI 10.48550/arXiv.2601.09708; https://openalex.org/W7124358336,reports-results,simplerenv-result-unattributed,not reported,"Reports SimplerEnv-Google average 68.7, but not a VM or VA suite-specific value.",,,,,,,,,,Subagent verified CVPR 2026 venue and a generic SimplerEnv-Google result; suite columns left blank.,high,weight-but-not-for-number,,"The tracked number is Fast-ThinkAct-3B's SimplerEnv-Google result of 68.7. The paper says the method initializes from public components such as Qwen2.5-VL 3B and DiT-Policy/RDT, then trains teacher/student latent reasoning and the action model. Those base weights are not the trained Fast-ThinkAct policy that produced the tracked number. The official project page provides only paper/PDF/social links, and the Hugging Face paper page reports zero linked models.",high,Subagent verified CVPR 2026 venue and a generic SimplerEnv-Google result; suite columns left blank.,high,otherwise,"Reports only a generic SimplerEnv-Google average without identifying VM or VA, so it is not comparable to a standard suite."
39,FPC-VLA: A vision-language-action framework with a supervisor for failure prediction and correction,2026,Expert systems with applications,Expert Systems with Applications,"Crossref DOI metadata for 10.1016/j.eswa.2026.131742 lists the article title in Expert Systems with Applications, volume 316, article/page 131742, published 2026-06, publisher Elsevier BV; ScienceDirect article page for PII S095741742600655X lists the same DOI and journal.",high,,n/a,n/a,10.1016/j.eswa.2026.131742,Semantic Scholar citation graph; OpenAlex term search: Real Robot Setups SIMPLER; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: Simulated Manipulation Policy Evaluation,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/be40940bd40b4131129992cfbbe9d6dfe0e0a020; DOI 10.1016/j.eswa.2026.131742; https://openalex.org/W7131317196,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,Google Robot / Fractal VM=78.0; Google Robot / Fractal VA=65.8; WidowX / Bridge=64.6,78.0,65.8,64.6,74.8,CogACT,61.3,CogACT,51.8,CogACT,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=78.0; Google Robot / Fractal VA=65.8; WidowX / Bridge=64.6,high,claimed-no-download-link,,"The tracked FPC-VLA numbers are the FPC-VLA policy/supervisor results: WidowX 64.6, Google Robot Visual Matching 78.0, and Variant Aggregation 65.8. The official project page visibly advertises Paper, Code, and Model buttons, but the raw HTML has href=""#"" for those buttons and no real model download. The paper uses a VLA, dual-stream action fusion, and a fine-tuned Qwen-based supervisor, so public base VLA/VLM weights are not sufficient for the tracked FPC-VLA numbers.",high,Independent subagent full-text/result audit verified: Google Robot / Fractal VM=78.0; Google Robot / Fractal VA=65.8; WidowX / Bridge=64.6,high,official-ish,"Reports standard SimplerEnv Google Robot / Fractal VM, Google Robot / Fractal VA, and WidowX / Bridge success-rate suite numbers."
