ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
27,Compositional Visual Planning via Inference-Time Diffusion Scaling,2026,preprint/unknown,n/a,n/a,n/a,2603.02646,,2026-03-03,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/74d4dbaee7d1a369cdaf24e71ccde0e809e1112f,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Appendix E says the asset library combines ShapeNet and RoboCasa assets for custom compositional planning tasks with 300 expert demonstrations; no RoboCasa benchmark metric is reported.,high,,
28,ComSim: Building Scalable Real-World Robot Data Generation via Compositional Simulation,2026,arXiv (Cornell University),n/a,n/a,n/a,2604.11386,,2026-04-13,arXiv API published date,,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa RSS/original,manual-citation,https://openalex.org/W7154539328; OpenAlex: W7154539328,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Sec. 2.1 lists RoboCasa among simulator frameworks; ComSim results are on its own synthetic/real setup, not RoboCasa.",high,,
29,Conservative Offline Robot Policy Learning via Posterior-Transition Reweighting,2026,ArXiv.org,n/a,arXiv API comment and journal_ref are blank; web search found no accepted venue.,n/a,2603.16542,0,2026-03-17,arXiv API for 2603.16542 returned 2603.16542v1 published 2026-03-17T14:05:35Z.,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7139147511; OpenAlex: W7139147511,reports-results,rss24,RoboCasa Human 50 shots,"Table 1 standard RoboCasa success (%): PTR Avg 55.6 (Pick&Place 38.3, Door/Drawer 73.0, Others 55.5); SFT+Belief Avg 54.4; SFT Avg 54.2. Table 3 specialist/generalist: PTR-Specialist RoboCasa 55.6 vs SFT-Specialist 54.2; PTR-Generalist 55.0 vs SFT-Generalist 50.8. Table 5 ablations: PTR full RoboCasa Avg 55.6; w/o belief 54.0; w/o cross-rank gather 54.3; w/o EMA 50.2; w/o refiner 51.9; w/o clipping 49.1; alpha=0 54.3.",55.6,,,54.2,SFT,,,,,"Local text /tmp/robocasa_protocol_audit/txt/29_https_arxiv.org_pdf_2603.16542.txt, Sec. 5.2/Table 1, Table 3, and Table 5; setup states 24 kitchen tasks, 50 trials across 5 scene layouts per task.",high,weight-but-not-for-number,,"PTR project page https://research.beingbeyond.com/ptr links official code at https://github.com/BeingBeyond/PTR.; The official PTR repo currently has README/docs only, no GitHub release assets, and no checkpoint/model download instructions.; PTR paper says all methods build on Being-H0.5 and reports PTR RoboCasa 55.6, so the tracked number requires the PTR post-trained/reweighted policy.; Related Being-H0.5 RoboCasa weights are public at https://huggingface.co/BeingBeyond/Being-H05-2B_robocasa with model.safetensors, but that page is for the Being-H0.5/Being-H0 model family, not a PTR 55.6 checkpoint. Notes: Public Being-H0.5 RoboCasa weights may be an initialization or related specialist model, but they are not the PTR checkpoint that produced the tracked RoboCasa result.",high,Sec. 5.1/Table 1 reports standard simulation success rates on RoboCasa 24 kitchen tasks over 50 trials across 5 scene layouts per task; Fig. 11 labels RoboCasa Human 50 shots.,medium,official-ish,"Reports standard RoboCasa Human-50/RSS24-style 24-task success rates over held-out scene layouts, including a 55.6% PTR average."
30,Contact-Anchored Policies: Contact Conditioning Creates Strong Robot Utility Models,2026,arXiv.org,n/a,n/a,n/a,2602.09017,,2026-02-09,arXiv API published date,10.48550/arXiv.2602.09017,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7128555918; OpenAlex: W7128555918,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only as a cited benchmark/reference; Contact-Anchored Policies reports no RoboCasa results.,high,,
31,Cortex 2.0: Grounding World Models in Real-World Industrial Deployment,2026,preprint/unknown,n/a,n/a,n/a,2604.20246,,2026-04-22,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/6bbbbce195309697ddaedb5c35d0d18a66ad9a2b,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No full text or draft contexts available in the audit bundle.,low,,
32,Cosmos Policy: Fine-Tuning Video Models for Visuomotor Control and Planning,2026,arXiv.org,n/a,"arXiv API comment/journal_ref are blank; web/OpenReview search only found under-review ICLR 2026 PDFs, not an accepted venue.",n/a,2601.16163,0,2026-01-22,arXiv API for 2601.16163 returned 2601.16163v1 published 2026-01-22T18:09:30Z.,10.48550/arXiv.2601.16163,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7125496427; OpenAlex: W7125496427, W7125566584",reports-results,rss24,50 human-teleoperated demonstrations for each task,Table 2 RoboCasa average SR (%): Cosmos Policy (ours) 67.1 with 50 training demos/task. Baselines: GR00T-N1 + HAMLET 66.4; FLARE 66.4; Video Policy 66.0; GR00T-N1.5 64.1; pi0 62.5; UWM 60.8; DUST 58.5; DreamGen 57.6; DP-VLA 57.3; UVA 50.0; GR00T-N1 49.6.,67.1,,,66.4,FLARE / GR00T-N1.5 + HAMLET,,,,,"Local text /tmp/robocasa_protocol_audit/txt/32_https_arxiv.org_pdf_2601.16163.txt, abstract, Sec. 5.1 protocol, and Table 2 'RoboCasa simulation benchmark results'.",high,number-associated weight available,https://huggingface.co/nvidia/Cosmos-Policy-RoboCasa-Predict2-2B,"Official NVlabs/cosmos-policy ROBOCASA.md says Cosmos Policy was trained on the RoboCasa benchmark with 24 tasks and 50 demonstrations per task.; The same guide lists the pretrained checkpoint nvidia/Cosmos-Policy-RoboCasa-Predict2-2B and gives evaluation commands and seed/deterministic settings to reproduce the paper results.; Hugging Face model card for https://huggingface.co/nvidia/Cosmos-Policy-RoboCasa-Predict2-2B reports Cosmos Policy (ours) at 67.1% average RoboCasa success.; Hugging Face API lists Cosmos-Policy-RoboCasa-Predict2-2B.pt plus config, RoboCasa dataset statistics, and T5 embeddings. Notes: This is the specific Predict2 RoboCasa checkpoint tied to the tracked 67.1 result, not just the general Cosmos-Predict2 base model.",high,Sec. 5/Table 2 reports RoboCasa 24-task success rates; setup says the benchmark provides 50 human-teleoperated demonstrations per task and Cosmos trains on those alone.,high,official-ish,"Reports standard RoboCasa 24-task, 50-demonstration-per-task success rates, including a 67.1% average for Cosmos Policy."
33,Data Analogies Enable Efficient Cross-Embodiment Transfer,2026,ArXiv.org,n/a,"arXiv API comment is only '14 pages, 11 Figures, 6 Tables' and journal_ref is blank; local text/project search found no accepted venue.",n/a,2603.06450,,2026-03-06,arXiv API for 2603.06450 returned latest 2603.06450v2 with original published timestamp 2026-03-06T16:42:46Z.,,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7134291331; OpenAlex: W7134291331,reports-results,rss24,"50 demonstrations per (robot, task) combination","RoboCasa-based cross-embodiment success (%). Fig. 5 best coverage/pairing bars: Viewpoint D-TR 70, D-TP 68, D-U 64; Morphology D-TR 64, T-TR 62, D-TP 48; Appearance D-TR 68, D-TP 62, T-TR 57. Fig. 6 OXE+Translational vs OXE/Narrow/Baseline by task/target: PnP Counter->Sink Panda 40 vs 23/18/18, Jaco 38 vs 22/18/12; PnP Sink->Counter Panda 39 vs 27/24/16, Jaco 36 vs 26/24/10; Flip Mug Panda 68 vs 33/28/22, Jaco 62 vs 32/28/20; Open Cabinet Panda 55 vs 40/35/34, Jaco 56 vs 38/35/28. Text summarizes OXE+Translational achieves average 19% higher simulation success over OXE.",70.0,,,,,,,,,"Local text /tmp/robocasa_protocol_audit/txt/33_https_arxiv.org_pdf_2603.06450.txt plus rendered PDF pages 6-7 for Fig. 5 and Fig. 6. Sec. IV says the benchmark is RoboCasa-based with tasks PnP Counter->Sink, PnP Sink->Counter, Turn On Sink Faucet/Flip Mug Upright; Fig. 6 caption says four RoboCasa tasks.",high,not-found,,"Official project page https://data-analogies.github.io/ links Paper, Results, Code, and Data, but no model or weights link.; Official GitHub repo https://github.com/JonathanYang0127/Xemb-Robot-Learning has no release assets and no checkpoint/weight references in the visible README.; Official Hugging Face data link https://huggingface.co/datasets/jonathanyang0127/xembod_robocasa is a dataset repo.; Hugging Face dataset API lists parquet data and metadata files, not model checkpoints. Notes: Official code and data are public, but I found no policy weights/checkpoints for the tracked RoboCasa-based cross-embodiment success numbers.",high,"Simulation Environment uses a RoboCasa-based cross-embodiment benchmark; Fig. 5/Table III report success rates, and Data Budget states 50 demonstrations per robot-task combination.",high,otherwise,"Reports a RoboCasa-based cross-embodiment transfer evaluation with viewpoint/morphology/appearance and target-robot variants, not a standard RSS24 success-rate protocol."
34,Deep Reinforcement Learning in the Era of Foundation Models: A Survey,2026,Computers,Computers,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.3390/computers15010040,OpenAlex citation graph; OpenAlex term search: RoboCasa,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; term match,indexed-citation,https://openalex.org/W7119495052; OpenAlex: W7119495052,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No full text or draft contexts available in the audit bundle.,low,,
35,DeepPhy: Benchmarking Agentic VLMs on Physical Reasoning,2026,Proceedings of the AAAI Conference on Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence,derived from Venue/status/DOI metadata,medium,2508.05405,,2025-08-07,arXiv API published date,10.1609/aaai.v40i40.40711,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa arXiv 2406.02523,manual-citation,https://openalex.org/W7138428186; OpenAlex: W7138428186,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,DeepPhy reference list cites RoboCasa; no DeepPhy result on RoboCasa found.,high,,
36,DIAL: Decoupling Intent and Action via Latent World Modeling for End-to-End VLA,2026,ArXiv.org,n/a,n/a,n/a,2603.29844,,2026-03-31,arXiv API published date,10.48550/arxiv.2603.29844,OpenAlex term search: RoboCasa; Semantic Scholar term search: RoboCasa,term match; manual full-text benchmark-result audit: reports RoboCasa GR1 Tabletop benchmark results,manual-citation,"https://openalex.org/W7147055570; OpenAlex: W7147055570, W7148176925; https://arxiv.org/abs/2603.29844; https://arxiv.org/html/2603.29844",reports-results,gr1,100 trajectories per task in few-shot setting; full-data setting also reported,"RoboCasa GR1 Tabletop results: DIAL achieves 70.2 average success rate in the full-data setting, outperforming FLARE 55.0 and GR00T-N1.6 47.6. In the strict few-shot setting with 100 trajectories per task, DIAL achieves 58.3 success rate.",,,70.2,,,,,55.0,FLARE,"arXiv HTML https://arxiv.org/html/2603.29844, Sections 4.1.1 and 5.1/Figures 7-8 report RoboCasa GR1 Tabletop full-data average success 70.2 and 100-trajectories-per-task few-shot success 58.3.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this corrected result row.,low,The paper benchmarks DIAL on the RoboCasa GR1 Tabletop simulation suite and reports full-data and few-shot RoboCasa GR1 success rates.,high,official-ish,"Reports RoboCasa GR1 Tabletop success rates, including a full-data average of 70.2 and a few-shot setting under the GR1 protocol."
37,DiT4DiT: Jointly Modeling Video Dynamics and Actions for Generalizable Robot Control,2026,arXiv (Cornell University),n/a,"arXiv API comment is only the project URL and journal_ref is blank; web search found arXiv/project only, no accepted venue.",n/a,2603.10448,0,2026-03-11,arXiv API for 2603.10448 returned latest 2603.10448v2 with original published timestamp 2026-03-11T06:03:53Z.,10.48550/arxiv.2603.10448,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W7135125976; OpenAlex: W7135125976, W7135156230",reports-results,gr1,"1,000 human-collected trajectories for each of the 24 tasks","Table 2 RoboCasa-GR1 success rate (%): DiT4DiT (ours, from scratch) Average 50.8; GR00T-N1.5 41.8; GR00T-N1.6 40.8; Qwen3DiT 36.2. Example task wins: CanToDrawerClose 74.0 vs GR00T-N1.5 56.0/Qwen3DiT 48.0; FromCuttingboardToPan 76.0 vs 58.0/50.0; FromPlateToPan 68.0 vs 56.0/34.0. Fig. 7 unseen-object RoboCasa-GR1: DiT4DiT 54.5 ToDrawerClose, 34.0 ToCabinetClose, 30.5 ToMicrowaveClose; Qwen3DiT 32.0/24.5/17.0.",,,50.8,,,,,41.8,GR00T-N1.5,"Local text /tmp/robocasa_protocol_audit/txt/37_https_arxiv.org_pdf_2603.10448.txt, abstract, Sec. 5.1 setup, Table 2 'RoboCasa-GR1 tabletop tasks evaluation results', and Fig. 7 zero-shot text.",high,weight-but-not-for-number,,"Official DiT4DiT project/arXiv reports the tracked RoboCasa-GR1 paper number as 50.8.; Official GitHub Model Zoo says pretrained checkpoints are released to facilitate reproduction and links DiT4DiT-RoboCasa-GR1, but lists its success rate as 56.7.; The same repo reports five independent evaluation runs of the same checkpoint with averages 56.7, 56.6, 56.3, 57.4, and 57.3, not 50.8.; Hugging Face listing https://huggingface.co/mondo-robotics/dit4dit-model/tree/main/dit4dit_robocasa_gr1/final_model contains final_model/pytorch_model.pt, so a related RoboCasa-GR1 checkpoint exists. Notes: A same-method RoboCasa-GR1 checkpoint is public, but the official release metadata ties it to a different 56.x result. I did not find a checkpoint explicitly tied to the tracked 50.8 paper number.",medium,"Sec. 5.1/Table 2 reports RoboCasa-GR1 tabletop success rates across 24 tasks; benchmark description states 1,000 human-collected trajectories per task.",high,official-ish,"Reports RoboCasa-GR1 Tabletop success rates over the 24-task GR1 setup, with a 50.8 average success rate."
38,DockAnywhere: Data-Efficient Visuomotor Policy Learning for Mobile Manipulation Via Novel Demonstration Generation,2026,IEEE Robotics and Automation Letters,IEEE Robotics and Automation Letters,derived from Venue/status/DOI metadata,medium,2604.15023,,2026-04-16,arXiv API published date,10.1109/lra.2026.3688095,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7154865035; OpenAlex: W7154865035,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Task setup designs five ManiSkill mobile-manipulation tasks and notes ManiSkill offers scene datasets such as RoboCasa; reported tables are ManiSkill/custom task success rates, not RoboCasa protocol metrics.",medium,,
39,DualCoT-VLA: Visual-Linguistic Chain of Thought via Parallel Reasoning for Vision-Language-Action Models,2026,arXiv (Cornell University),n/a,n/a,n/a,2603.22280,,2026-03-23,arXiv API published date,10.48550/arxiv.2603.22280,OpenAlex term search: RoboCasa; Semantic Scholar term search: RoboCasa,"term match; manual audit: mention/unrelated term only, no formal RoboCasa citation confirmed",term-only,"https://openalex.org/W7140208460; OpenAlex: W7140208460, W7140347004",term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
40,DynamicVLA: A Vision-Language-Action Model for Dynamic Object Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.22153,,2026-01-29,arXiv API published date,10.48550/arXiv.2601.22153,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W7126281009; OpenAlex: W7126281009,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references; DynamicVLA does not report a RoboCasa experiment.,high,,
41,Efficient Diffusion-Based Action Generation in Vision Language Action Model via State Space Model,2026,CORE term search result,n/a,n/a,n/a,,,n/a,n/a,,CORE term search: RoboCasa,term match; manual audit: no countable RoboCasa citation confirmed,term-only,,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-only row retained for audit; not a countable RoboCasa citation/result row.,n/a,,
42,Ego to World: Collaborative Spatial Reasoning in Embodied Systems via Reinforcement Learning,2026,preprint/unknown,n/a,n/a,n/a,2603.14811,,2026-03-16,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/5f23756ffceb4944d2b8a9abcbab3c0bb7b2b6d3,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Data collection section says its simulator provides diverse scenes like RoboCasa, plus a reference; no RoboCasa data/result is reported.",high,,
43,EmbodiedClaw: Conversational Workflow Execution for Embodied AI Development,2026,preprint/unknown,n/a,n/a,n/a,2604.13800,,2026-04-15,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/e65374aa663cdbe129bff533a525d71f5bdb63fa,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa appears only in the references; EmbodiedClaw reports no RoboCasa metric.,high,,
